epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1357.8,1.08409,1.75221,1.50631,0.36711,0.388,0.39735,0.229,1.39627,2.34076,1.90663,0.000470663,0.000470663,0.000470663
2,3138.84,1.09589,1.30233,1.45341,0.6872,0.16985,0.23621,0.13005,1.71722,3.54165,2.12685,0.000928246,0.000928246,0.000928246
3,4403.46,1.18581,1.3043,1.51263,0.70784,0.29934,0.33593,0.17816,1.62609,3.2903,1.98158,0.00136697,0.00136697,0.00136697
4,5660.57,1.17252,1.22546,1.49931,0.33869,0.59398,0.53533,0.3442,1.42287,1.69431,1.85672,0.00134412,0.00134412,0.00134412
5,7841.96,1.13652,1.19075,1.47643,0.44491,0.44076,0.49623,0.27522,1.36643,1.58754,1.74948,0.00131582,0.00131582,0.00131582
6,9370.59,1.0888,1.18053,1.43416,0.45152,0.57163,0.56182,0.36073,1.41718,1.55875,1.75085,0.00128753,0.00128753,0.00128753
7,13606.4,1.07821,1.07352,1.42493,0.59735,0.80728,0.66616,0.40277,1.29556,1.30053,1.67126,0.00125923,0.00125923,0.00125923
8,18693.7,1.00944,1.01152,1.37524,0.70339,0.85585,0.7959,0.55049,1.15109,1.09755,1.56005,0.00123094,0.00123094,0.00123094
9,19916.6,1.00482,0.9969,1.38725,0.59543,0.91403,0.7418,0.46693,1.12072,0.87001,1.57374,0.00120265,0.00120265,0.00120265
10,21142.4,0.98303,0.92885,1.36585,0.82347,0.68469,0.90384,0.61914,1.09838,0.94327,1.49085,0.00117435,0.00117435,0.00117435
11,27387.5,0.95899,0.91675,1.35555,0.56557,0.89789,0.72925,0.51318,0.99854,0.92963,1.44485,0.00114606,0.00114606,0.00114606
12,28587.9,0.91346,0.84357,1.31642,0.90182,0.87884,0.9505,0.68701,1.02705,0.67485,1.41488,0.00111776,0.00111776,0.00111776
13,29799.2,0.88129,0.78965,1.28911,0.73444,0.83185,0.89042,0.67675,1.04007,0.8015,1.44058,0.00108947,0.00108947,0.00108947
14,31025.3,0.90232,0.81417,1.30593,0.81128,0.8416,0.93514,0.71164,1.00465,0.73244,1.37727,0.00106118,0.00106118,0.00106118
15,32242.2,0.87127,0.78132,1.26955,0.88232,0.84585,0.95582,0.68188,1.02571,0.63748,1.42948,0.00103288,0.00103288,0.00103288
16,33518.7,0.86876,0.75456,1.27229,0.78049,0.81528,0.90101,0.68086,1.03644,0.73005,1.44503,0.00100459,0.00100459,0.00100459
17,35287.9,0.85085,0.73695,1.27599,0.81613,0.7883,0.87978,0.60273,1.02888,0.75678,1.46791,0.000976293,0.000976293,0.000976293
18,37051.3,0.82995,0.7149,1.25774,0.86327,0.78935,0.88369,0.6507,0.96756,0.8572,1.39075,0.000947999,0.000947999,0.000947999
19,38723.1,0.82156,0.7006,1.24527,0.86686,0.87366,0.93229,0.7034,0.99659,0.72517,1.41519,0.000919704,0.000919704,0.000919704
20,40310.1,0.79865,0.68757,1.2341,0.66096,0.74077,0.83931,0.60141,1.02845,0.66776,1.42431,0.00089141,0.00089141,0.00089141
21,73118.2,0.7775,0.66892,1.22178,0.90894,0.85779,0.94737,0.68853,0.95281,0.65735,1.37967,0.000863116,0.000863116,0.000863116
22,74288.1,0.77035,0.65439,1.21274,0.85429,0.89344,0.93631,0.69845,0.97694,0.63993,1.35631,0.000834822,0.000834822,0.000834822
23,75680.3,0.76287,0.62728,1.20413,0.95156,0.87647,0.96809,0.73213,0.88201,0.59369,1.31795,0.000806528,0.000806528,0.000806528
24,76907.4,0.74364,0.61056,1.20906,0.82416,0.85564,0.91642,0.68778,0.97242,0.70006,1.34303,0.000778233,0.000778233,0.000778233
